INFO 2025-06-21 09:19:01,930 feed_observers 1960 137835082543104 Connected feed observer signals
INFO 2025-06-21 09:22:48,611 feed_observers 1966 130958873329664 Connected feed observer signals
INFO 2025-06-21 09:22:58,575 feed_observers 1967 123379856805888 Connected feed observer signals
INFO 2025-06-21 09:23:06,074 feed_observers 1968 123447364292608 Connected feed observer signals
INFO 2025-06-21 09:23:39,675 feed_observers 1969 129710110244864 Connected feed observer signals
INFO 2025-06-21 09:23:41,380 otx_service 1969 129710110244864 OTX API connection test successful
INFO 2025-06-21 09:23:45,594 otx_service 1969 129710110244864 Retrieved 5 pulses from OTX
INFO 2025-06-21 09:23:57,547 feed_observers 1970 127637562466304 Connected feed observer signals
INFO 2025-06-21 09:24:01,238 otx_service 1970 127637562466304 OTX API connection test successful
INFO 2025-06-21 09:24:08,135 otx_service 1970 127637562466304 Fetching OTX pulses modified since 2025-06-14 09:24:08.135841+00:00
INFO 2025-06-21 09:24:09,210 otx_service 1970 127637562466304 Retrieved 50 pulses from OTX
ERROR 2025-06-21 09:24:09,213 otx_service 1970 127637562466304 Error converting OTX pulse to STIX: Unsupported STIX object type: report
ERROR 2025-06-21 09:24:09,272 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.21222+00:00'
ERROR 2025-06-21 09:24:09,533 otx_service 1970 127637562466304 Error converting OTX pulse to STIX: Unsupported STIX object type: report
ERROR 2025-06-21 09:24:09,591 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.5331+00:00'
ERROR 2025-06-21 09:24:09,750 otx_service 1970 127637562466304 Error converting OTX pulse to STIX: Unsupported STIX object type: report
ERROR 2025-06-21 09:24:09,972 otx_service 1970 127637562466304 Error converting OTX pulse to STIX: Unsupported STIX object type: report
ERROR 2025-06-21 09:24:09,977 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.94494+00:00'
ERROR 2025-06-21 09:24:10,020 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.94523+00:00'
ERROR 2025-06-21 09:24:10,171 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.94867+00:00'
ERROR 2025-06-21 09:24:10,174 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.94887+00:00'
ERROR 2025-06-21 09:24:10,186 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.9492+00:00'
ERROR 2025-06-21 09:24:10,230 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.94992+00:00'
ERROR 2025-06-21 09:24:10,233 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95002+00:00'
ERROR 2025-06-21 09:24:10,323 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95203+00:00'
ERROR 2025-06-21 09:24:10,374 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95291+00:00'
ERROR 2025-06-21 09:24:10,446 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.9542+00:00'
ERROR 2025-06-21 09:24:10,524 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95587+00:00'
ERROR 2025-06-21 09:24:10,528 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95596+00:00'
ERROR 2025-06-21 09:24:10,546 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95632+00:00'
ERROR 2025-06-21 09:24:10,570 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95676+00:00'
ERROR 2025-06-21 09:24:10,572 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.9568+00:00'
ERROR 2025-06-21 09:24:10,671 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95836+00:00'
ERROR 2025-06-21 09:24:10,678 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95848+00:00'
ERROR 2025-06-21 09:24:10,723 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95917+00:00'
ERROR 2025-06-21 09:24:10,728 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95933+00:00'
ERROR 2025-06-21 09:24:10,739 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.95954+00:00'
ERROR 2025-06-21 09:24:10,813 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96089+00:00'
ERROR 2025-06-21 09:24:10,823 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.9611+00:00'
ERROR 2025-06-21 09:24:10,885 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96221+00:00'
ERROR 2025-06-21 09:24:10,898 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96242+00:00'
ERROR 2025-06-21 09:24:10,921 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96287+00:00'
ERROR 2025-06-21 09:24:10,935 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96325+00:00'
ERROR 2025-06-21 09:24:10,943 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96347+00:00'
ERROR 2025-06-21 09:24:10,965 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96388+00:00'
ERROR 2025-06-21 09:24:10,970 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96397+00:00'
ERROR 2025-06-21 09:24:10,975 otx_service 1970 127637562466304 Error storing STIX object: Invalid isoformat string: '2025-06-21T09:24:09.96406+00:00'
